,x,y
251,1,-5
252,-2,-14
253,1,-6
254,-3,-14
255,1,-5
256,-2,-14
257,2,-5
258,-3,-14
259,1,-5
260,-3,-13
261,1,-6
262,-3,-12
263,1,-7
264,-3,-11
265,0,-7
266,-2,-11
267,1,-7
268,-2,-10
269,2,-7
270,-3,-10
271,2,-6
272,-4,-10
273,2,-7
274,-4,-11
275,1,-7
276,-5,-11
277,0,-7
278,-6,-11
279,-1,-7
280,-7,-11
281,-1,-8
282,-6,-11
283,0,-8
284,-6,-12
285,-1,-8
286,-6,-13
287,-1,-9
288,-6,-14
289,-1,-8
290,-6,-15
291,-2,-8
292,-6,-14
293,-3,-8
294,-6,-15
295,-3,-7
296,-6,-16
297,-3,-8
298,-6,-15
299,-4,-8
300,-6,-16
301,-4,-7
302,-7,-16
303,-5,-7
304,-7,-15
305,-4,-7
306,-8,-15
307,-4,-8
308,-8,-14
309,-5,-8
310,-8,-13
311,-4,-8
312,-7,-13
313,-5,-8
314,-6,-13
315,-6,-8
316,-6,-12
317,-6,-7
318,-6,-13
319,-6,-6
320,-5,-13
321,-6,-7
322,-4,-13
323,-6,-6
324,-4,-14
325,-5,-6
326,-5,-14
327,-4,-6
328,-5,-13
329,-3,-6
330,-6,-13
331,-2,-6
332,-6,-14
333,-2,-7
334,-6,-13
335,-3,-7
336,-6,-14
337,-4,-7
338,-6,-13
339,-5,-7
340,-5,-13
341,-5,-6
342,-5,-14
343,-6,-6
344,-6,-14
345,-6,-7
346,-6,-15
347,-6,-6
348,-7,-15
349,-6,-5
350,-7,-14
351,-7,-5
352,-8,-14
353,-7,-6
354,-7,-14
355,-6,-6
356,-7,-15
357,-6,-7
358,-7,-16
359,-6,-6
360,-7,-15
361,-7,-6
362,-8,-15
363,-8,-6
364,-8,-14
365,-9,-6
366,-8,-13
367,-10,-6
368,-7,-13
369,-10,-7
370,-7,-14
371,-10,-6
372,-6,-14
373,-10,-5
374,-5,-14
375,-11,-5
376,-5,-15
377,-12,-5
378,-6,-15
379,-11,-5
380,-5,-15
381,-10,-5
382,-6,-15
383,-10,-4
384,-5,-15
385,-11,-4
386,-5,-16
387,-12,-4
388,-5,-15
389,-12,-5
390,-4,-15
391,-11,-5
392,-4,-16
393,-11,-6
394,-4,-15
395,-11,-5
396,-4,-14
397,-10,-5
398,-4,-15
399,-10,-6
400,-3,-15
401,-11,-6
402,-3,-16
403,-10,-6
404,-3,-17
405,-11,-6
406,-2,-17
407,-11,-7
408,-3,-17
409,-11,-8
410,-3,-18
411,-10,-8
412,-4,-18
413,-11,-8
414,-5,-18
415,-11,-7
416,-4,-18
417,-10,-7
418,-4,-19
419,-10,-8
420,-4,-20
421,-10,-9
422,-3,-20
423,-11,-9
424,-3,-21
425,-10,-9
426,-4,-21
427,-10,-10
428,-4,-22
429,-11,-10
430,-4,-23
431,-10,-10
432,-4,-24
433,-11,-10
434,-3,-24
435,-11,-11
436,-3,-25
437,-12,-11
438,-2,-25
439,-11,-11
440,-2,-24
441,-12,-11
442,-2,-23
443,-11,-11
444,-2,-22
445,-10,-11
446,-2,-21
447,-9,-11
448,-1,-21
449,-9,-12
450,0,-21
451,-10,-12
452,1,-21
453,-9,-12
454,1,-20
455,-9,-13
456,0,-20
457,-10,-13
458,-1,-20
459,-10,-14
460,-1,-21
461,-11,-14
462,-2,-21
463,-11,-13
464,-1,-21
465,-11,-14
466,-1,-20
467,-11,-15
468,0,-20
469,-11,-16
470,0,-19
471,-11,-17
472,-1,-19
473,-11,-18
474,-1,-18
475,-11,-19
476,-1,-17
477,-12,-19
478,0,-17
479,-12,-20
480,0,-18
481,-13,-20
482,0,-19
483,-13,-21
484,0,-18
485,-13,-20
486,0,-17
487,-12,-20
488,1,-17
489,-12,-19
490,1,-18
491,-12,-18
492,0,-18
493,-13,-18
494,0,-17
495,-13,-17
496,0,-16
497,-13,-16
498,0,-15
499,-12,-16
500,0,-14
501,-11,-16
502,0,-13
503,-10,-16
504,-1,-13
505,-10,-15
506,-1,-12
507,-10,-16
508,-1,-11
509,-10,-17
510,-2,-11
511,-11,-17
512,-2,-12
513,-10,-17
514,-2,-13
515,-11,-17
516,-1,-13
517,-10,-17
518,0,-13
519,-9,-17
520,0,-14
521,-8,-17
522,0,-13
523,-9,-17
524,0,-14
525,-10,-17
526,0,-13
527,-11,-17
528,1,-13
529,-12,-17
530,1,-12
531,-12,-18
532,1,-13
533,-12,-17
534,1,-12
535,-12,-18
536,1,-13
537,-13,-18
538,2,-13
539,-13,-19
540,1,-13
541,-13,-18
542,1,-12
543,-12,-18
544,1,-11
545,-12,-17
546,1,-12
547,-13,-17
548,2,-12
549,-13,-18
550,3,-12
551,-13,-19
552,3,-11
553,-12,-19
554,3,-12
555,-11,-19
556,4,-12
557,-12,-19
558,3,-12
559,-13,-19
560,2,-12
561,-13,-18
562,2,-11
563,-14,-18
564,3,-11
565,-15,-18
566,2,-11
567,-15,-17
568,3,-11
569,-15,-16
570,2,-11
571,-16,-16
572,2,-10
573,-16,-15
574,2,-11
575,-16,-14
576,1,-11
577,-16,-15
578,2,-11
579,-16,-16
580,2,-10
581,-17,-16
582,1,-10
583,-16,-16
584,1,-9
585,-16,-15
586,1,-10
587,-16,-14
588,1,-11
589,-16,-13
590,0,-11
591,-16,-14
592,-1,-11
593,-16,-15
594,0,-11
595,-17,-15
596,-1,-11
597,-17,-14
598,-1,-12
599,-17,-13
600,-2,-12
601,-17,-12
602,-2,-13
603,-17,-13
604,-3,-13
605,-17,-12
606,-4,-13
607,-17,-13
608,-4,-14
609,-17,-14
610,-4,-15
611,-17,-15
612,-3,-15
613,-17,-14
614,-3,-16
615,-16,-14
616,-3,-15
617,-17,-14
618,-4,-15
619,-17,-13
620,-4,-14
621,-18,-13
622,-4,-15
623,-18,-12
624,-4,-16
625,-18,-11
626,-4,-15
627,-17,-11
628,-5,-15
629,-18,-11
630,-5,-16
631,-19,-11
632,-6,-16
633,-20,-11
634,-6,-17
635,-21,-11
636,-7,-17
637,-20,-11
638,-7,-16
639,-20,-10
640,-7,-15
641,-21,-10
642,-8,-15
643,-22,-10
644,-9,-15
645,-21,-10
646,-9,-14
647,-21,-11
648,-9,-15
649,-22,-11
650,-8,-15
651,-21,-11
652,-8,-16
653,-21,-10
654,-8,-15
655,-20,-10
656,-9,-15
657,-20,-11
658,-9,-14
659,-19,-11
660,-9,-13
661,-19,-12
662,-10,-13
663,-18,-12
664,-9,-13
665,-18,-13
666,-9,-12
667,-18,-12
668,-10,-12
669,-18,-11
670,-10,-13
671,-19,-11
672,-10,-12
673,-19,-10
674,-11,-12
675,-19,-9
676,-11,-11
677,-19,-8
678,-10,-11
679,-19,-9
680,-10,-12
681,-18,-9
682,-9,-12
683,-19,-9
684,-10,-12
685,-18,-9
686,-10,-11
687,-18,-8
688,-10,-12
689,-18,-7
690,-11,-12
691,-18,-8
692,-11,-11
693,-18,-7
694,-12,-11
695,-19,-7
696,-12,-12
697,-19,-6
698,-12,-11
699,-19,-7
700,-13,-11
701,-19,-8
702,-14,-11
703,-18,-8
704,-14,-12
705,-18,-7
706,-13,-12
707,-19,-7
708,-13,-11
709,-19,-8
710,-12,-11
711,-18,-8
712,-12,-12
713,-19,-8
714,-12,-13
715,-19,-9
716,-12,-12
717,-18,-9
718,-12,-13
719,-18,-8
720,-13,-13
721,-17,-8
722,-13,-14
723,-17,-9
724,-12,-14
725,-17,-10
726,-12,-13
727,-18,-10
728,-13,-13
729,-18,-11
730,-13,-12
731,-18,-12
732,-14,-12
733,-19,-12
734,-15,-12
735,-18,-12
736,-15,-13
737,-18,-13
738,-15,-12
739,-19,-13
740,-14,-12
741,-18,-13
742,-14,-11
743,-18,-14
744,-15,-11
745,-18,-13
746,-15,-10
747,-18,-14
748,-16,-10
749,-17,-14
750,-16,-9
751,-17,-15
752,-15,-9
753,-16,-15
754,-14,-9
755,-16,-16
756,-14,-8
757,-16,-15
758,-15,-8
759,-17,-15
760,-15,-7
761,-17,-14
762,-15,-8
763,-16,-14
764,-14,-8
765,-15,-14
766,-13,-8
767,-15,-13
768,-13,-9
769,-14,-13
770,-13,-10
771,-15,-13
772,-12,-10
773,-15,-14
774,-12,-11
775,-15,-13
776,-12,-12
777,-15,-12
778,-13,-12
779,-16,-12
780,-13,-11
781,-17,-12
782,-14,-11
783,-16,-12
784,-14,-12
785,-16,-11
786,-13,-12
787,-15,-11
788,-14,-12
789,-15,-12
790,-13,-12
791,-14,-12
792,-12,-12
793,-15,-12
794,-12,-11
795,-14,-12
796,-13,-11
797,-15,-12
798,-14,-11
799,-15,-13
800,-14,-12
801,-15,-14
802,-13,-12
803,-14,-14
804,-12,-12
805,-15,-14
806,-13,-12
807,-15,-15
808,-12,-12
809,-14,-15
810,-11,-12
811,-14,-16
812,-11,-13
813,-15,-16
814,-11,-12
815,-15,-17
816,-12,-12
817,-15,-16
818,-11,-12
819,-15,-17
820,-10,-12
821,-16,-17
822,-9,-12
823,-17,-17
824,-9,-13
825,-16,-17
826,-9,-12
827,-16,-18
828,-8,-12
829,-15,-18
830,-7,-12
831,-15,-19
832,-7,-13
833,-14,-19
834,-8,-13
835,-14,-20
836,-7,-13
837,-13,-20
838,-6,-13
839,-12,-20
840,-5,-13
841,-11,-20
842,-6,-13
843,-12,-20
844,-5,-13
845,-13,-20
846,-6,-13
847,-12,-20
848,-6,-14
849,-12,-19
850,-6,-13
851,-11,-19
852,-6,-14
853,-11,-20
854,-6,-15
855,-10,-20
856,-5,-15
857,-10,-19
858,-6,-15
859,-10,-20
860,-7,-15
861,-9,-20
862,-8,-15
863,-9,-21
864,-8,-16
865,-10,-21
866,-9,-16
867,-10,-22
868,-9,-15
869,-9,-22
870,-10,-15
871,-9,-23
872,-9,-15
873,-9,-22
874,-9,-16
875,-9,-23
876,-8,-16
877,-9,-22
878,-7,-16
879,-9,-23
880,-7,-15
881,-9,-22
882,-7,-16
883,-8,-22
884,-6,-16
885,-7,-22
886,-6,-17
887,-8,-22
888,-5,-17
889,-8,-21
890,-4,-17
891,-8,-22
892,-4,-18
893,-7,-22
894,-3,-18
895,-7,-21
896,-2,-18
897,-8,-21
898,-1,-18
899,-8,-20
900,-2,-18
901,-8,-19
902,-2,-17
903,-9,-19
904,-2,-16
905,-9,-18
906,-1,-16
907,-8,-18
908,0,-16
909,-8,-17
910,0,-15
911,-7,-17
912,0,-14
913,-8,-17
914,1,-14
915,-7,-17
916,1,-15
917,-8,-17
918,2,-15
919,-9,-17
920,2,-14
921,-9,-18
922,2,-13
923,-9,-17
924,3,-13
925,-9,-18
926,2,-13
927,-9,-17
928,1,-13
929,-9,-18
930,1,-12
931,-8,-18
932,1,-13
933,-9,-18
934,0,-13
935,-8,-18
936,0,-12
937,-7,-18
938,0,-11
939,-7,-19
940,0,-12
941,-6,-19
942,1,-12
943,-6,-18
944,1,-13
945,-5,-18
946,1,-12
947,-6,-18
948,1,-13
949,-7,-18
950,2,-13
951,-7,-19
952,1,-13
953,-7,-18
954,2,-13
955,-7,-19
956,3,-13
957,-6,-19
958,2,-13
959,-6,-18
960,2,-14
961,-6,-19
962,2,-15
963,-5,-19
964,3,-15
965,-5,-20
966,4,-15
967,-5,-19
968,4,-16
969,-6,-19
970,4,-15
971,-5,-19
972,5,-15
973,-4,-19
974,6,-15
975,-3,-19
976,6,-16
977,-3,-18
978,7,-16
979,-3,-19
980,6,-16
981,-3,-20
982,7,-16
983,-3,-19
984,6,-16
985,-3,-20
986,6,-17
987,-4,-20
988,6,-16
989,-3,-20
990,6,-17
991,-2,-20
992,6,-18
993,-2,-21
994,7,-18
995,-1,-21
996,6,-18
997,-1,-20
998,5,-18
999,-1,-19
1000,6,-18
1001,-2,-19
1002,5,-18
1003,-2,-20
1004,5,-19
1005,-2,-19
1006,4,-19
1007,-3,-19
1008,3,-19
1009,-3,-20
1010,2,-19
1011,-2,-20
1012,1,-19
1013,-2,-21
1014,2,-19
1015,-2,-20
1016,2,-20
1017,-1,-20
1018,2,-19
1019,0,-20
1020,2,-18
1021,0,-21
1022,3,-18
1023,0,-20
1024,2,-18
1025,-1,-20
1026,2,-17
1027,-1,-21
1028,3,-17
1029,0,-21
1030,3,-18
1031,-1,-21
1032,4,-18
1033,-1,-22
1034,4,-17
1035,-1,-23
1036,3,-17
1037,-1,-24
1038,3,-18
1039,-1,-23
1040,2,-18
1041,-2,-23
1042,1,-18
1043,-3,-23
1044,2,-18
1045,-2,-23
1046,1,-18
1047,-2,-24
1048,2,-18
1049,-2,-25
1050,1,-18
1051,-2,-26
1052,1,-19
1053,-3,-26
1054,1,-18
1055,-4,-26
1056,0,-18
1057,-3,-26
1058,0,-17
1059,-3,-27
1060,1,-17
1061,-2,-27
1062,2,-17
1063,-2,-28
1064,2,-16
1065,-2,-29
1066,1,-16
1067,-2,-28
1068,0,-16
1069,-2,-27
1070,0,-17
1071,-3,-27
1072,0,-18
1073,-3,-28
1074,0,-17
1075,-3,-27
1076,0,-18
1077,-3,-26
1078,-1,-18
1079,-3,-25
1080,-1,-19
1081,-3,-24
1082,0,-19
1083,-2,-24
1084,1,-19
1085,-1,-24
1086,1,-20
1087,-1,-25
1088,2,-20
1089,-1,-24
1090,3,-20
1091,0,-24
1092,3,-21
1093,-1,-24
1094,3,-22
1095,-2,-24
1096,2,-22
1097,-3,-24
1098,2,-23
1099,-2,-24
1100,2,-22
1101,-2,-23
1102,1,-22
1103,-1,-23
1104,1,-23
1105,-1,-24
1106,0,-23
1107,-2,-24
1108,0,-22
1109,-3,-24
1110,0,-21
1111,-3,-25
1112,0,-22
1113,-3,-26
1114,0,-23
1115,-3,-27
1116,-1,-23
1117,-3,-28
1118,-1,-24
1119,-3,-27
1120,-2,-24
1121,-3,-26
1122,-2,-23
1123,-3,-27
1124,-2,-24
1125,-4,-27
1126,-2,-25
1127,-3,-27
1128,-3,-25
1129,-4,-27
1130,-3,-24
1131,-4,-26
1132,-4,-24
1133,-3,-26
1134,-3,-24
1135,-4,-26
1136,-3,-25
1137,-4,-27
1138,-3,-26
1139,-4,-26
1140,-3,-25
1141,-4,-27
1142,-4,-25
1143,-4,-28
1144,-4,-24
1145,-4,-27
1146,-4,-23
1147,-3,-27
1148,-5,-23
1149,-3,-28
1150,-5,-22
1151,-4,-28
1152,-6,-22
1153,-4,-27
1154,-5,-22
1155,-4,-28
1156,-6,-22
1157,-4,-27
1158,-5,-22
1159,-3,-27
1160,-6,-22
1161,-3,-26
1162,-7,-22
1163,-3,-27
1164,-8,-22
1165,-4,-27
1166,-7,-22
1167,-4,-26
1168,-7,-21
1169,-4,-25
1170,-7,-20
1171,-4,-26
1172,-6,-20
1173,-4,-25
1174,-6,-21
1175,-4,-24
1176,-6,-20
1177,-4,-23
1178,-5,-20
1179,-5,-23
1180,-4,-20
1181,-5,-22
1182,-5,-20
1183,-4,-22
1184,-4,-20
1185,-3,-22
1186,-4,-21
1187,-2,-22
1188,-5,-21
1189,-3,-22
1190,-6,-21
1191,-2,-22
1192,-6,-22
1193,-2,-21
1194,-6,-21
1195,-2,-22
1196,-5,-21
1197,-2,-21
1198,-5,-20
1199,-1,-21
1200,-5,-19
1201,-1,-22
1202,-5,-20
1203,0,-22
1204,-5,-19
1205,1,-22
1206,-6,-19
1207,1,-21
1208,-7,-19
1209,1,-20
1210,-8,-19
1211,1,-19
1212,-7,-19
1213,1,-20
1214,-6,-19
1215,0,-20
1216,-7,-19
1217,0,-21
1218,-8,-19
1219,-1,-21
1220,-7,-19
1221,0,-21
1222,-6,-19
1223,-1,-21
1224,-6,-20
1225,-1,-22
1226,-7,-20
1227,-1,-21
1228,-8,-20
1229,-1,-22
1230,-7,-20
1231,-2,-22
1232,-8,-20
1233,-2,-21
1234,-9,-20
1235,-3,-21
1236,-9,-19
1237,-3,-22
1238,-9,-18
1239,-2,-22
1240,-10,-18
1241,-1,-22
1242,-9,-18
1243,-1,-23
1244,-8,-18
1245,-2,-23
1246,-9,-18
1247,-3,-23
1248,-8,-18
1249,-3,-22
1250,-8,-17
1251,-2,-22
1252,-8,-16
1253,-3,-22
1254,-8,-15
1255,-2,-22
1256,-7,-15
1257,-2,-23
1258,-6,-15
1259,-2,-22
1260,-7,-15
1261,-1,-22
1262,-8,-15
1263,0,-22
1264,-9,-15
1265,1,-22
1266,-9,-14
1267,2,-22
1268,-8,-14
1269,3,-22
1270,-8,-13
1271,2,-22
1272,-9,-13
1273,3,-22
1274,-8,-13
1275,3,-23
1276,-7,-13
1277,3,-22
1278,-7,-14
1279,2,-22
1280,-8,-14
1281,1,-22
1282,-8,-13
1283,1,-23
1284,-9,-13
1285,2,-23
1286,-9,-12
1287,2,-22
1288,-10,-12
1289,3,-22
1290,-11,-12
1291,3,-23
1292,-11,-11
1293,3,-24
1294,-11,-10
1295,4,-24
1296,-10,-10
1297,3,-24
1298,-11,-10
1299,3,-25
1300,-11,-11
1301,2,-25
1302,-11,-12
1303,3,-25
1304,-11,-13
1305,3,-26
1306,-11,-12
1307,3,-27
1308,-11,-13
1309,3,-28
1310,-12,-13
1311,2,-28
1312,-11,-13
1313,2,-29
1314,-12,-13
1315,3,-29
1316,-13,-13
1317,2,-29
1318,-13,-12
1319,3,-29
1320,-13,-11
1321,2,-29
1322,-12,-11
1323,3,-29
1324,-12,-10
1325,3,-30
1326,-13,-10
1327,2,-30
1328,-14,-10
1329,2,-31
1330,-13,-10
1331,1,-31
1332,-12,-10
1333,0,-31
1334,-11,-10
1335,0,-32
1336,-11,-9
1337,0,-33
1338,-10,-9
1339,-1,-33
1340,-9,-9
1341,-1,-34
1342,-8,-9
1343,0,-34
1344,-8,-10
1345,0,-33
1346,-9,-10
1347,0,-32
1348,-9,-11
1349,-1,-32
1350,-9,-10
1351,-2,-32
1352,-8,-10
1353,-2,-31
1354,-9,-10
1355,-2,-32
1356,-10,-10
1357,-2,-33
1358,-10,-11
1359,-3,-33
1360,-11,-11
1361,-3,-34
1362,-12,-11
1363,-3,-33
1364,-12,-10
1365,-3,-34
1366,-12,-9
1367,-2,-34
1368,-13,-9
1369,-2,-33
1370,-13,-8
1371,-3,-33
1372,-13,-9
1373,-3,-34
1374,-12,-9
1375,-2,-34
1376,-12,-8
1377,-3,-34
1378,-12,-7
1379,-2,-34
1380,-11,-7
1381,-3,-34
1382,-11,-8
1383,-2,-34
1384,-10,-8
1385,-3,-34
1386,-10,-7
1387,-2,-34
1388,-10,-8
1389,-3,-34
1390,-11,-8
1391,-2,-34
1392,-11,-7
1393,-2,-33
1394,-11,-8
1395,-2,-32
1396,-10,-8
1397,-2,-33
1398,-11,-8
1399,-1,-33
1400,-11,-7
1401,-1,-32
1402,-12,-7
1403,-1,-33
1404,-12,-6
1405,0,-33
1406,-12,-5
1407,-1,-33
1408,-11,-5
1409,0,-33
1410,-10,-5
1411,0,-32
1412,-9,-5
1413,1,-32
1414,-9,-4
1415,1,-33
1416,-10,-4
1417,1,-32
1418,-11,-4
1419,1,-33
1420,-11,-5
1421,1,-32
1422,-12,-5
1423,1,-33
1424,-11,-5
1425,2,-33
1426,-12,-5
1427,1,-33
1428,-11,-5
1429,1,-34
1430,-12,-5
1431,1,-33
1432,-13,-5
1433,0,-33
1434,-12,-5
1435,-1,-33
1436,-12,-4
1437,-1,-34
1438,-12,-3
1439,-2,-34
1440,-13,-3
1441,-3,-34
1442,-14,-3
1443,-4,-34
1444,-14,-2
1445,-4,-35
1446,-14,-1
1447,-4,-34
1448,-15,-1
1449,-5,-34
1450,-15,-2
1451,-4,-34
1452,-16,-2
1453,-3,-34
1454,-17,-2
1455,-2,-34
1456,-17,-3
1457,-3,-34
1458,-17,-2
1459,-3,-35
1460,-17,-1
1461,-2,-35
1462,-17,0
1463,-1,-35
1464,-18,0
1465,-1,-34
1466,-18,1
1467,-1,-35
1468,-19,1
1469,-1,-36
1470,-20,1
1471,0,-36
1472,-20,0
1473,0,-37
1474,-21,0
1475,0,-38
1476,-21,-1
1477,1,-38
1478,-22,-1
1479,1,-37
1480,-21,-1
1481,1,-36
1482,-21,-2
1483,0,-36
1484,-22,-2
1485,-1,-36
1486,-22,-1
1487,0,-36
1488,-21,-1
1489,-1,-36
1490,-21,-2
1491,-2,-36
1492,-21,-3
1493,-2,-35
1494,-20,-3
1495,-3,-35
1496,-20,-2
1497,-3,-34
1498,-19,-2
1499,-4,-34
1500,-19,-3
1501,-5,-34
1502,-18,-3
1503,-5,-35
1504,-18,-4
1505,-6,-35
1506,-18,-5
1507,-6,-34
1508,-18,-6
1509,-6,-33
1510,-17,-6
1511,-6,-32
1512,-17,-7
1513,-6,-33
1514,-17,-8
1515,-5,-33
1516,-17,-7
1517,-5,-34
1518,-17,-8
1519,-5,-33
1520,-18,-8
1521,-6,-33
1522,-18,-9
1523,-6,-34
1524,-18,-8
1525,-5,-34
1526,-18,-7
1527,-6,-34
1528,-17,-7
1529,-7,-34
1530,-17,-6
1531,-6,-34
1532,-16,-6
1533,-6,-35
1534,-15,-6
1535,-7,-35
1536,-15,-5
1537,-8,-35
1538,-14,-5
1539,-9,-35
1540,-14,-4
1541,-9,-36
1542,-14,-3
1543,-9,-37
1544,-13,-3
1545,-8,-37
1546,-13,-2
1547,-9,-37
1548,-12,-2
1549,-9,-38
1550,-12,-3
1551,-8,-38
1552,-13,-3
1553,-8,-37
1554,-14,-3
1555,-8,-36
1556,-13,-3
1557,-7,-36
1558,-13,-2
1559,-7,-37
1560,-12,-2
1561,-8,-37
1562,-12,-1
1563,-8,-36
1564,-12,-2
1565,-8,-35
1566,-12,-3
1567,-9,-35
1568,-11,-3
1569,-10,-35
1570,-10,-3
1571,-9,-35
1572,-10,-4
1573,-8,-35
1574,-9,-4
1575,-8,-36
1576,-9,-3
1577,-7,-36
1578,-10,-3
1579,-6,-36
1580,-9,-3
1581,-6,-37
1582,-8,-3
1583,-7,-37
1584,-9,-3
1585,-7,-36
1586,-8,-3
1587,-7,-37
1588,-7,-3
1589,-7,-36
1590,-7,-4
1591,-7,-35
1592,-6,-4
1593,-6,-35
1594,-6,-3
1595,-7,-35
1596,-6,-2
1597,-6,-35
1598,-7,-2
1599,-6,-36
1600,-7,-1
1601,-7,-36
1602,-7,0
1603,-7,-35
1604,-7,1
1605,-6,-35
1606,-7,0
1607,-6,-34
1608,-8,0
1609,-7,-34
1610,-9,0
1611,-7,-35
1612,-8,0
1613,-7,-36
1614,-8,-1
1615,-8,-36
1616,-8,-2
1617,-8,-37
1618,-8,-3
1619,-7,-37
1620,-9,-3
1621,-7,-36
1622,-10,-3
1623,-7,-35
1624,-11,-3
1625,-6,-35
1626,-10,-3
1627,-6,-36
1628,-9,-3
1629,-7,-36
1630,-8,-3
1631,-8,-36
1632,-7,-3
1633,-8,-35
1634,-7,-2
1635,-9,-35
1636,-8,-2
1637,-8,-35
1638,-8,-3
1639,-7,-35
1640,-8,-4
1641,-7,-36
1642,-8,-5
1643,-7,-35
1644,-9,-5
1645,-7,-34
1646,-10,-5
1647,-7,-33
1648,-9,-5
1649,-6,-33
1650,-9,-6
1651,-7,-33
1652,-9,-5
1653,-7,-34
1654,-10,-5
1655,-6,-34
1656,-10,-6
1657,-6,-35
1658,-11,-6
1659,-7,-35
1660,-11,-5
1661,-8,-35
1662,-10,-5
1663,-7,-35
1664,-9,-5
1665,-8,-35
1666,-10,-5
1667,-8,-34
1668,-10,-4
1669,-8,-33
1670,-9,-4
1671,-8,-34
1672,-9,-3
1673,-8,-35
1674,-9,-2
1675,-8,-34
1676,-8,-2
1677,-7,-34
1678,-9,-2
1679,-8,-34
1680,-9,-3
1681,-8,-33
1682,-9,-2
1683,-8,-32
1684,-9,-1
1685,-9,-32
1686,-8,-1
1687,-8,-32
1688,-8,-2
1689,-9,-32
1690,-7,-2
1691,-9,-33
1692,-6,-2
1693,-9,-34
1694,-5,-2
1695,-8,-34
1696,-6,-2
1697,-8,-35
1698,-6,-3
1699,-7,-35
1700,-7,-3
1701,-6,-35
1702,-7,-4
1703,-5,-35
1704,-6,-4
1705,-6,-35
1706,-6,-5
1707,-5,-35
1708,-7,-5
1709,-5,-34
1710,-7,-4
